Name,RA,DEC,Distance (pc),Ever Observable(I),Always Observable(I),Ever Observable(SE),Always Observable(SE),Fraction of observable time (I),Fraction of observable time (SE)
TIC219860288,17.183155,71.872204,41.3249,TRUE,FALSE,TRUE,FALSE,0.534246575,0.696
TIC441732151,17.191783,72.135555,,TRUE,FALSE,TRUE,FALSE,0.543378995,0.708
TIC441739020,17.267817,72.161181,168.8847,TRUE,FALSE,TRUE,FALSE,0.538812785,0.712
TIC441738827,17.283636,72.747023,,TRUE,FALSE,TRUE,FALSE,0.557077626,0.744
TIC441739871,17.304278,74.302721,,TRUE,FALSE,TRUE,FALSE,0.607305936,0.84
TIC441765914,17.424993,75.88228,127.168,TRUE,FALSE,TRUE,FALSE,0.680365297,0.96
TIC441798995,17.60986,77.126216,,TRUE,FALSE,TRUE,TRUE,0.762557078,1
TIC441797803,17.625263,73.261193,342.7945,TRUE,FALSE,TRUE,FALSE,0.566210046,0.78
TIC233211762,17.779072,70.784502,152.008,TRUE,FALSE,TRUE,FALSE,0.502283105,0.656
TIC229586455,18.091235,75.145628,,TRUE,FALSE,TRUE,FALSE,0.630136986,0.912
TIC288516853,18.233154,80.658462,157.4878,TRUE,TRUE,TRUE,TRUE,1,1
TIC229608594,18.300804,74.466535,84.3789,TRUE,FALSE,TRUE,FALSE,0.593607306,0.868
TIC406855039,18.324701,71.248626,240.3211,TRUE,FALSE,TRUE,FALSE,0.502283105,0.684
TIC356867115,18.390836,71.581748,91.1087,TRUE,FALSE,TRUE,FALSE,0.506849315,0.704
TIC367855829,18.457876,73.264575,173.1242,TRUE,FALSE,TRUE,FALSE,0.547945205,0.792
TIC288631580,18.528346,82.305949,122.9302,TRUE,TRUE,TRUE,TRUE,1,1
TIC288636342,18.630957,78.61111,344.4712,TRUE,FALSE,TRUE,TRUE,0.913242009,1
TIC288636599,18.649633,79.23835,376.3643,TRUE,TRUE,TRUE,TRUE,1,1
TIC229650439,18.728252,74.937833,110.8672,TRUE,FALSE,TRUE,FALSE,0.607305936,0.908
TIC424391516,18.771843,75.303367,244.242,TRUE,FALSE,TRUE,FALSE,0.621004566,0.936
TIC288735205,18.806678,79.256476,,TRUE,TRUE,TRUE,TRUE,1,1
TIC394029948,18.815309,78.568946,183.2878,TRUE,FALSE,TRUE,TRUE,0.899543379,1
TIC394050135,18.853017,82.245414,339.2706,TRUE,TRUE,TRUE,TRUE,1,1
TIC235678745,19.042435,75.418514,41.9685,TRUE,FALSE,TRUE,FALSE,0.625570776,0.948
TIC362220495,19.081864,79.755949,34.2353,TRUE,TRUE,TRUE,TRUE,1,1
TIC235683377,19.152807,74.174276,41.215,TRUE,FALSE,TRUE,FALSE,0.566210046,0.86
TIC420112587,19.344932,73.195993,30.5642,TRUE,FALSE,TRUE,FALSE,0.529680365,0.804
TIC420112589,19.344932,73.195108,30.5482,TRUE,FALSE,TRUE,FALSE,0.529680365,0.804
TIC235905185,19.391828,78.754217,,TRUE,FALSE,TRUE,TRUE,0.917808219,1
TIC237201858,19.521554,72.538317,235.0895,TRUE,FALSE,TRUE,FALSE,0.506849315,0.772
TIC237200747,19.5355,74.891073,,TRUE,FALSE,TRUE,FALSE,0.589041096,0.916
TIC235937532,19.594307,81.554791,613.6852,TRUE,TRUE,TRUE,TRUE,1,1
TIC237211410,19.62507,74.78231,244.3375,TRUE,FALSE,TRUE,FALSE,0.579908676,0.912
TIC235943205,19.728516,78.725919,190.2226,TRUE,FALSE,TRUE,TRUE,0.908675799,1
TIC237222864,19.749641,74.062858,66.0759,TRUE,FALSE,TRUE,FALSE,0.552511416,0.864
TIC237232044,19.826579,76.139178,86.0163,TRUE,FALSE,TRUE,TRUE,0.648401826,1
TIC364074068,20.421918,77.636412,,TRUE,FALSE,TRUE,TRUE,0.757990868,1
TIC315755496,20.688758,82.435302,593.4718,TRUE,TRUE,TRUE,TRUE,1,1
TIC367102581,20.951269,78.674917,306.2131,TRUE,FALSE,TRUE,TRUE,0.876712329,1
TIC265146266,21.12618,74.383252,,TRUE,FALSE,TRUE,FALSE,0.534246575,0.908
TIC264544388,21.762559,79.613939,135.439,TRUE,TRUE,TRUE,TRUE,1,1
TIC470127886,22.074521,81.565951,278.319,TRUE,TRUE,TRUE,TRUE,1,1
TIC470159478,22.220782,81.739729,,TRUE,TRUE,TRUE,TRUE,1,1
TIC417705690,23.240502,76.93432,131.0341,TRUE,FALSE,TRUE,TRUE,0.639269406,1
TIC317397615,23.319755,75.017864,428.449,TRUE,FALSE,TRUE,FALSE,0.520547945,0.988
TIC428988981,23.350209,79.441782,106.1301,TRUE,FALSE,TRUE,TRUE,0.99086758,1
TIC317507345,23.411648,77.627113,262.4465,TRUE,FALSE,TRUE,TRUE,0.698630137,1
TIC317597583,23.467778,75.552607,66.2195,TRUE,FALSE,TRUE,TRUE,0.547945205,1
TIC367858035,23.649439,75.685232,96.8908,TRUE,FALSE,TRUE,TRUE,0.547945205,1
