Name,RA,DEC,Distance (pc),Ever Observable(I),Always Observable(I),Ever Observable(SE),Always Observable(SE),Fraction of observable time (I),Fraction of observable time (SE)
TIC461387302,0.201453,66.65052299999999,236.0439,True,False,True,False,0.9,0.14361702127659576
TIC407059875,0.364636,66.16811899999999,108.414,True,False,True,False,0.884,0.1276595744680851
TIC418987806,0.43462799999999996,63.319412,486.2867,True,False,True,False,0.796,0.010638297872340425
TIC284050395,0.599325,65.026035,104.6726,True,False,True,False,0.844,0.0851063829787234
TIC52041724,0.941299,65.679038,280.7727,True,False,True,False,0.868,0.11702127659574468
TIC468574941,1.0789959999999998,74.33130600000001,292.0902,True,True,True,False,1.0,0.6329787234042553
TIC53617134,1.1786729999999999,65.249648,,True,False,True,False,0.852,0.10638297872340426
TIC422756130,1.461449,72.296615,45.1898,True,False,True,False,0.968,0.4787234042553192
TIC389900760,1.5671540000000002,65.513988,32.2054,True,False,True,False,0.86,0.12234042553191489
TIC374400599,2.313193,64.356382,390.442,True,False,True,False,0.824,0.09574468085106383
TIC50120414,2.659407,62.43330600000001,,True,False,True,False,0.776,0.026595744680851064
TIC51024887,2.810346,62.18926,,True,False,True,False,0.772,0.02127659574468085
TIC302773669,2.829107,71.753088,78.262,True,False,True,False,0.936,0.4734042553191489
TIC408618999,2.8956310000000003,69.101345,89.1758,True,False,True,False,0.896,0.3191489361702128
TIC376353509,3.026745,69.229924,69.9761,True,False,True,False,0.896,0.32978723404255317
TIC81831095,3.187109,61.762384999999995,403.9588,True,False,True,False,0.76,0.015957446808510637
TIC420645189,3.224695,75.26837900000001,159.2179,True,True,True,False,1.0,0.7712765957446809
TIC458914949,3.228228,61.90783100000001,573.0002,True,False,True,False,0.764,0.02127659574468085
TIC102672709,4.115409,66.119599,210.4023,True,False,True,False,0.856,0.2074468085106383
TIC103195323,4.171532,75.17093100000001,382.8337,True,True,True,False,1.0,0.7819148936170213
TIC85031598,4.356406,62.245206,87.8079,True,False,True,False,0.768,0.05851063829787234
TIC103448870,4.455666000000001,73.023689,125.3054,True,False,True,False,0.936,0.601063829787234
TIC468828873,6.124803,66.857699,284.1151,True,False,True,False,0.824,0.28191489361702127
TIC339538183,6.22126,63.685007999999996,,True,False,True,False,0.808,0.15425531914893617
TIC138168780,6.31953,73.827567,237.062,True,False,True,False,0.928,0.7074468085106383
TIC396740648,6.5165809999999995,66.360596,125.1283,True,False,True,False,0.816,0.2712765957446808
TIC149833117,6.975236,67.677336,189.086,True,False,True,False,0.816,0.3404255319148936
TIC85242435,7.6230139999999995,61.153925,,True,False,True,False,0.744,0.09574468085106383
