target name,ever observable,always observable,fraction of time observable
TIC99869022,True,False,0.5570776255707762
TIC99834717,True,False,0.6575342465753424
TIC9837861,True,False,0.2420091324200913
TIC9828416,False,False,0.0
TIC96291218,False,False,0.0
TIC95129101,False,False,0.0
TIC9392421,False,False,0.0
TIC9348006,False,False,0.0
TIC92783821,True,False,0.0639269406392694
TIC900715901,True,False,0.8949771689497716
TIC89759617,True,False,0.0639269406392694
TIC8967242,False,False,0.0
TIC89643259,False,False,0.0
TIC89510024,False,False,0.0
TIC89389197,False,False,0.0
TIC88996391,True,False,0.0365296803652968
TIC88992642,True,False,0.1506849315068493
TIC88840705,True,False,0.1415525114155251
TIC8767448,False,False,0.0
TIC87090944,True,False,0.3515981735159817
TIC86396382,False,False,0.0
TIC86280613,True,False,0.5342465753424658
TIC85293053,False,False,0.0
TIC85242435,True,False,0.4840182648401826
TIC85031598,True,False,0.45662100456621
TIC8400842,True,False,0.3287671232876712
TIC8348911,False,False,0.0
TIC83210867,True,False,0.0410958904109589
TIC82452140,True,False,0.1141552511415525
TIC82010657,True,False,0.3744292237442922
TIC81831095,True,False,0.4200913242009132
TIC81212286,True,False,0.3698630136986301
TIC76419763,True,False,0.0593607305936073
TIC76197937,True,False,0.0821917808219178
TIC75878355,True,False,0.1187214611872146
TIC75656058,True,False,0.091324200913242
TIC73448352,False,False,0.0
TIC73104318,True,False,0.3424657534246575
TIC71854745,True,False,0.1917808219178082
TIC71612483,False,False,0.0
TIC71431780,True,False,0.7442922374429224
TIC71347873,True,False,0.8310502283105022
TIC69997672,False,False,0.0
TIC69679391,False,False,0.0
TIC68152139,False,False,0.0
TIC68035559,False,False,0.0
TIC67926921,True,False,0.0776255707762557
TIC67666096,False,False,0.0
TIC67646988,False,False,0.0
TIC67418624,False,False,0.0
TIC67309890,True,False,0.4429223744292237
TIC66783360,True,False,0.4748858447488584
TIC66445643,True,False,0.4292237442922374
TIC64836837,True,False,0.5114155251141552
TIC64553698,True,False,0.5388127853881278
TIC58542531,False,False,0.0
TIC53875855,False,False,0.0
TIC53709089,True,False,0.3607305936073059
TIC53617134,True,False,0.4931506849315068
TIC53427308,True,False,0.3105022831050228
TIC52041724,True,False,0.5068493150684932
TIC51234631,True,False,0.3972602739726027
TIC51024887,True,False,0.4246575342465753
TIC50120414,True,False,0.4292237442922374
TIC4897275,False,False,0.0
TIC48188920,True,False,0.3561643835616438
TIC48018596,True,False,0.410958904109589
TIC470987100,True,False,0.2602739726027397
TIC470852531,True,False,0.593607305936073
TIC470709084,True,False,0.593607305936073
TIC470381900,True,False,0.0958904109589041
TIC470315428,True,False,0.1963470319634703
TIC470159478,True,False,0.771689497716895
TIC470127886,True,False,0.7671232876712328
TIC468845640,True,False,0.502283105022831
TIC468828873,True,False,0.6484018264840182
TIC468574941,True,False,0.9452054794520548
TIC468472950,True,False,0.228310502283105
TIC467179528,True,False,0.680365296803653
TIC462615350,True,False,0.5707762557077626
