Name,RA,DEC
TIC233211762,17.779072,70.784502
TIC233390838,20.103951,59.490771
TIC233541860,18.746525,62.685644
TIC233617847,18.919637,64.53137
TIC233681149,17.357654,65.012281
TIC233684822,17.393526,64.862363
TIC233735068,18.498457,61.049501
TIC233951353,20.360860,58.140828
TIC233953967,20.359677,56.462656
TIC235683377,19.152807,74.174276
TIC236445129,20.951235,31.661019
TIC236714379,15.946764,65.888838
TIC236815160,18.909166,59.763193
TIC236887394,20.225458,65.162331
TIC237086564,20.493102,61.550725
TIC237104103,16.088193,70.19004
TIC237200747,19.535500,74.891073
TIC237222864,19.749641,74.062858
TIC237232044,19.826579,76.139178
TIC240450679,21.568491,46.931774
TIC240613164,21.753681,45.812547
TIC240681314,0.630583,51.288778
TIC240968774,1.274310,49.233138
TIC241040309,1.381160,48.955364
TIC241065596,1.449080,49.388653
TIC241076290,1.935524,52.585482
TIC245462406,2.588113,55.703217
TIC249812036,22.652369,49.426562
TIC249862365,2.541534,52.704091
TIC249945230,2.587347,48.273763
TIC250724252,2.233683,53.121508
TIC251384275,2.981349,58.735245
TIC252490659,22.957319,53.140835
TIC252616865,23.066325,52.562695
TIC252636888,23.101218,52.787014
TIC256414077,1.040433,60.715522
TIC256621916,20.032559,60.246367
TIC256783784,21.960119,36.321404
TIC256886630,21.959004,41.449509
TIC258514800,20.364995,70.943705
TIC258777134,19.116525,71.7136
TIC258801269,19.135006,66.290697
TIC258829450,19.177755,66.768093
TIC259126549,19.427457,69.11298
TIC259129875,19.458683,68.014695
TIC259151170,3.356393,52.692112
TIC259168516,19.487599,65.973802
TIC259172391,19.517849,71.497358
TIC26433869,3.787623,30.149498
TIC266500992,4.078149,52.256992
TIC266593143,21.635732,30.488188
TIC266688542,21.401587,46.384673
TIC267561446,20.767577,56.86715
TIC267574918,18.961045,53.509024
TIC267694283,4.215335,53.68705
TIC26880783,19.562905,53.464527
TIC269238073,23.348849,62.161179
TIC269509393,23.358253,60.175637
TIC269701147,20.135042,66.850301
TIC269892793,2.952863,33.312657
TIC270238522,23.443228,64.304699
TIC272049972,23.694444,62.921485
TIC272625214,23.754572,62.142699
TIC272635712,15.410809,67.464751
TIC272828463,23.772589,60.487025
TIC274170255,21.096423,46.845151
TIC274662200,21.124483,46.865373
TIC274762761,20.089758,38.228325
TIC274942910,21.528438,41.797465
TIC275111900,21.547123,39.072196
TIC275501623,21.341074,61.12025
TIC275722992,21.252331,44.899679
TIC276360911,21.936897,55.740977
TIC276380902,20.537718,58.328901
TIC27677846,4.424676,46.365902
TIC277014266,20.428389,53.561615
TIC277447970,21.388634,52.8147
TIC277507814,20.730241,59.576628
TIC277566483,20.746305,54.502161
TIC279177746,20.925677,46.502085
TIC283474780,0.867845,36.393013
TIC283722336,23.222480,57.169626
TIC284050395,0.599325,65.026035
TIC284441182,0.672610,61.213387
TIC284475976,19.410826,55.473027
TIC285543785,0.881468,60.891685
TIC285666479,2.907377,52.07103
TIC285674856,3.546420,51.884502
TIC285677945,3.539932,50.49904
TIC286355915,2.526216,34.368925
TIC286561122,4.391749,35.495109
TIC286923464,13.567330,53.728188
TIC287190564,19.500345,54.108503
TIC288132261,13.965621,79.583322
TIC288348498,1.313359,41.506112
TIC288631580,18.528346,82.305949
TIC288636342,18.630957,78.61111
TIC288735205,18.806678,79.256476
TIC28900646,4.572930,43.03704
TIC292321872,2.126813,45.500156
TIC293687315,14.434922,59.444274
TIC293954617,20.041030,53.377442
TIC294179385,20.056154,53.294181
TIC294179389,20.055909,53.29562
TIC294471966,20.133430,51.361796
TIC298073824,13.422454,75.982713
TIC298647682,18.150949,53.217729
TIC299158887,19.281753,49.548281
TIC302773669,2.829107,71.753088
TIC306955329,0.940951,48.637517
TIC307111282,0.976008,50.936428
TIC310003988,14.991524,46.9601
TIC311035838,13.739601,48.028565
TIC311121985,5.705419,49.513452
TIC312083267,20.219682,36.725485
TIC312122956,5.898398,30.446042
TIC312259170,0.736185,59.464498
TIC312469860,0.858762,55.710926
TIC312678993,0.906490,54.528009
TIC312862941,1.021436,55.69801
TIC313506357,23.183836,45.93369
TIC313761775,21.223172,56.943732
TIC314338017,21.276332,58.772809
TIC316254876,3.465923,54.865617
TIC316402246,21.464899,54.519818
TIC317397615,23.319755,75.017864
TIC317507345,23.411648,77.627113
TIC317597583,23.467778,75.552607
TIC318746829,23.314575,56.008598
TIC319068154,23.340588,55.52411
TIC320506985,0.544238,54.654594
TIC321041369,5.444737,56.963615
TIC321857016,21.529454,66.349005
TIC322054600,21.591345,68.987307
TIC322202434,21.688337,68.807202
TIC326114850,22.104661,52.701917
TIC326919774,1.531532,46.399826
TIC327011842,1.564460,45.010329
TIC327341626,1.646034,42.677739
TIC327579226,0.315749,57.200629
TIC328167090,22.110898,55.686255
TIC328750515,22.152474,57.938972
TIC329145325,22.180838,59.650554
TIC329277372,22.175359,57.282429
TIC329864959,22.216336,53.98452
TIC330332501,21.007358,46.060449
TIC330468175,21.011080,47.785991
TIC331034236,21.739434,58.551567
TIC332154944,1.285242,57.514232
TIC333473672,23.616055,39.639279
TIC335483600,22.174243,63.55055
TIC336740528,22.315904,61.148988
TIC339538183,6.221260,63.685008
TIC343019899,22.300274,54.319045
TIC343442463,22.767915,55.162935
TIC343628284,21.088267,57.771095
TIC345143460,23.683115,57.485242
TIC345996087,21.832003,44.08006
TIC346338552,22.963024,38.674919
TIC346418409,22.973977,39.658712
TIC348135793,2.291798,56.42149
TIC348673213,2.387155,56.570014
TIC350132371,21.939424,68.998035
TIC352239069,19.479739,58.614764
TIC352413427,1.039876,37.185439
TIC352764091,20.583175,63.474938
TIC353038705,22.208796,31.364667
TIC353367071,5.995656,33.506969
TIC353475866,6.020556,34.77309
TIC353782445,18.462526,55.755753
TIC354006740,5.891271,37.3394
TIC354400186,1.849202,48.352316
TIC354469661,1.885505,52.053921
TIC354594208,0.125854,32.43753
TIC354600221,0.404978,57.881718
TIC355867695,10.476271,65.854199
TIC356158613,20.047244,39.668371
TIC356311210,17.867738,53.730699
TIC356867115,18.390836,71.581748
TIC357457104,21.036060,45.775741
TIC357972447,21.130387,50.500883
TIC358631536,21.171697,48.464282
TIC364186197,20.900736,72.580646
TIC365389353,21.590975,51.323577
TIC365683032,20.811997,51.910696
TIC365733349,20.877802,65.608783
TIC365938305,12.048433,74.061009
TIC366074069,23.784705,69.049522
TIC367099243,21.181946,72.615356
TIC367102581,20.951269,78.674917
TIC367366318,5.219706,33.317953
TIC367607434,23.258328,46.576022
TIC368536386,5.961345,36.765805
TIC370759867,1.877570,55.185971
TIC371673488,22.882214,59.850951
TIC372264750,22.087176,66.775296
TIC374400599,2.313193,64.356382
TIC375506058,21.080246,55.588022
TIC376353509,3.026745,69.229924
TIC376637093,22.672308,69.503731
