Name,RA,DEC
TIC468574941,1.078996,74.331306
TIC470127886,22.074521,81.565951
TIC470159478,22.220782,81.739729
TIC48018596,18.771746,50.492466
TIC53617134,1.178673,65.249648
TIC53709089,1.182447,61.092107
TIC68035559,14.648948,37.02674
TIC71347873,7.706225,70.404076
TIC75656058,18.059914,38.073512
TIC75878355,18.129033,39.072927
TIC76197937,18.246846,37.629995
TIC76419763,18.293702,36.621462
TIC82452140,17.006504,39.73025
TIC8348911,16.352003,31.577041
TIC88840705,17.505955,40.369465
TIC88992642,17.583872,40.695043
TIC88996391,17.596291,36.196492
TIC900715901,11.599103,75.546629
TIC9828416,17.406426,33.205073
