Time  RA DEC freqrng dur 
10:00 3.54982444 54.41084884 110e6:190e6 3m
10:04 4.171532  75.170931 110e6:190e6  15m
10:20 5.271567  79.737727 110e6:190e6  15m 
10:36 5.416015  79.74934  110e6:190e6  15m 
10:52 6.285589  76.21102  110e6:190e6  15m 
11:08 6.31953   73.827567 110e6:190e6  15m 
11:24 8.842334	82.92712  110e6:190e6  15m 
11:40 10.107913	74.827211 110e6:190e6  15m 
11:56 10.859545	81.322175 110e6:190e6  15m 
12:12 11.599103	75.546629 110e6:190e6  15m 
12:28 12.048433	74.061009 110e6:190e6  15m
12:44 12.169245	77.352263 110e6:190e6  15m 











 

